time,encoder_1,encoder_2,x,y
0.067,93.04999792,132.649997,-30.19499861887841,88.01456794939082
0.17,93.09999792,132.629997,-30.14563003890542,88.08433800773807
0.273,93.35999791,132.629997,-29.981847616435147,88.41480658385262
0.375,93.34999791,132.559997,-29.925441536631784,88.42335697447048
0.477,93.20999792,132.529997,-29.98681213707299,88.25471551199006
0.58,93.10999792,132.529997,-30.04975808161354,88.12765599911815
0.682,92.95999792,132.529997,-30.14405030923515,87.93689467021625
0.785,92.61999793,132.249997,-30.106748952523,87.59022596193573
0.887,92.22999794,131.6699971,-29.833160865883784,87.27173100588016
0.989,92.23999794,130.6399971,-28.914160886205412,87.59102990727894
1.092,92.33999794,129.6399971,-27.972478474759455,88.00122537520897
1.194,92.85999792,128.6899971,-26.818027499647314,88.90316425600702
1.296,93.37999791,128.4199971,-26.256323126663524,89.61266375652404
1.398,92.67999793,127.2899972,-25.720139766456768,89.03963402159026
1.502,90.66999797,125.9699972,-25.8357826442169,86.9112240567384
1.604,88.19999803,124.1199972,-25.765317744716228,84.35275961108691
1.706,85.87999808,119.3799973,-23.230438125429746,82.67841807098986
1.809,83.14999814,107.0499976,-15.357364173912174,81.71948088621122
1.911,81.75999817,96.44999784,-8.844272914113512,81.28023214397878
2.013,78.47999825,91.29999796,-7.3533091289729775,78.13474880086174
2.115,76.2199983,86.61999806,-5.721405145481084,76.00495815414456
2.218,74.42999834,84.24999812,-5.264315980836491,74.24359655988059
2.32,74.16999834,84.26999812,-5.406229491179728,73.97270669945978
2.422,75.74999831,85.1799981,-5.126925109293927,75.57629842013098
2.525,81.21999818,90.12999799,-5.157866328777708,81.05605788152829
2.627,89.80999799,96.01999785,-3.898663000507434,89.72533736783762
2.729,99.53999778,101.6699977,-1.4478961968770265,99.52946676560401
2.831,108.2199976,107.7699976,0.32836316837838114,108.21949943597807
2.934,114.0999974,112.3599975,1.331217461081082,114.09223140403259
3.036,117.1999974,114.6499974,1.9973563741216245,117.18297640047706
3.139,117.6899974,115.2099974,1.9513242807567523,117.67381960981523
3.241,116.6199974,115.2799974,1.0498175440270336,116.615272056023
3.344,110.1299975,116.6299974,-4.979526838425672,110.01736527392121
3.446,99.53999778,118.2499974,-13.76638759141082,98.58345566435301
3.549,89.04999801,119.9599973,-21.826009481875012,86.33381409203525
3.651,80.93999819,121.8699973,-28.043962617921636,75.92640823640888
3.754,75.70999831,124.4499972,-32.95877688844528,68.1595398320579
3.857,73.27999836,126.0199972,-35.51041059002165,64.10123945267891
3.959,73.33999836,126.0499972,-35.50623795498381,64.17213122320989
4.061,73.72999835,125.3299972,-34.70099845088176,65.0534654203979
4.164,74.64999833,119.5799973,-29.48227534999664,68.58146754667753
4.266,78.87999824,109.1299976,-19.213858965654058,76.50412894733434
4.368,85.60999809,99.55999777,-8.726761429029054,85.16404997374546
4.47,91.92999795,92.52999793,-0.37390538459053585,91.92923755721233
4.572,97.26999783,87.58999804,6.045421355408781,97.08195176490722
4.675,102.2299977,82.72999815,12.18486431028041,101.50123896525628
4.777,107.6499976,77.53999827,18.838076525568933,105.98890911834509
4.879,111.7499975,73.41999836,23.978262777255424,109.1471706249635
4.981,113.2599975,72.27999838,25.687259688808115,110.30862034936226
5.084,113.2099975,72.40999838,25.585458339724333,110.28094964904972
5.187,113.2199975,72.81999837,25.391944835450015,110.3359278357393
5.289,111.8299975,77.64999826,21.879817942810824,109.66869155615682
5.391,107.1799976,88.75999802,12.193292692654056,106.48415609304172
5.493,103.2499977,103.5399977,-0.20259830630406261,103.24979892947147
5.595,101.5999977,115.2399974,-9.99222117605405,101.10744309203365
5.698,101.2399977,123.1799972,-16.634373567216226,99.86408138225828
5.801,101.5499977,128.9899971,-21.371680131716232,99.27564314179794
5.903,102.1199977,131.8099971,-23.464126369101365,99.38776938830475
6.005,101.9899977,131.6399971,-23.40246353257432,99.26874800989752
6.107,101.7999977,131.5599971,-23.462139544702715,99.05941419019649
6.209,101.6999977,131.5299971,-23.50422501670948,98.94665703571744
6.311,100.8099977,129.8099971,-22.594526050094608,98.24532064605215
6.414,101.5999977,128.9699971,-21.31993452477704,99.3379077920369
6.517,102.8299977,130.4399971,-21.758731136709464,100.50157235736363
6.619,103.2499977,131.8799971,-22.74247165556083,100.71415991828566
6.721,103.5799977,133.379997,-23.856107014148662,100.79534751992026
6.824,103.5999977,133.679997,-24.11277727864864,100.75481872024926
6.926,103.1799977,133.909997,-24.614105983675692,100.20108638131818
7.028,102.2399977,132.839997,-24.302188085351368,99.3097214977477
7.131,101.4099977,131.5899971,-23.756553051567582,98.58810182076772
7.234,101.6199977,132.099997,-24.066842144770288,98.72897772045812
7.337,101.6199977,131.3899971,-23.434822315506757,98.88090329071954
7.439,101.0199977,132.759997,-25.06816509504055,97.86024235651472
7.541,101.2399977,132.079997,-24.309420517648654,98.27812171786826
7.643,101.0299977,131.0899971,-23.57272602843244,98.24147302870855
7.746,101.2999977,130.3299971,-22.71695476373651,98.71995492443438
7.848,101.6999977,130.9599971,-22.998754419770293,99.06536643711111
