time,encoder_1,encoder_2,x,y
0.077,89.509998,69.38999845,10.80090492253041,88.85595193803542
0.179,89.589998,69.44999845,10.821167084239871,88.93407718402979
0.282,89.73999799,69.49999845,10.888572482078386,89.07696800266459
0.384,89.92999799,69.74999844,10.886291405747981,89.2686574219112
0.487,91.33999796,72.26999838,10.540684329350007,90.72975918187925
0.589,93.7599979,75.45999831,10.461911693455413,93.17449012431646
0.692,96.50999784,79.83999822,9.931602592254055,95.99761951749812
0.794,99.65999777,84.9499981,9.174368170021626,99.23681839013834
0.896,104.7799977,90.21999798,9.591891494935137,104.34003802741015
0.999,109.9499975,95.97999785,9.719060685689186,109.51959555092365
1.101,114.5799974,100.8899977,9.965487054993249,114.14580531907761
1.204,115.9799974,103.1499977,9.498100579033794,115.59042296961529
1.306,117.9099974,103.4099977,10.841688724844596,117.41049898736306
1.408,122.9199973,101.5999977,16.17150744456758,121.85158219408686
1.511,129.2699971,97.86999781,24.095255671975025,127.004530644919
1.613,135.469997,92.69999793,32.969021861344615,131.396969845907
1.714,140.9899968,87.61999804,41.21930790923786,134.83007028533157
1.816,144.5099968,84.69999811,46.31435640304733,136.88725129137308
1.918,145.8299967,84.40999811,47.774797826323685,137.78227981194067
2.021,145.8699967,84.12999812,47.97364646482029,137.75552686598982
2.123,143.9499968,80.5899982,48.06369516501354,135.68891917103866
2.226,140.8399969,74.01999835,48.503191118439204,132.22460125907043
2.328,136.8599969,66.54999851,48.316744762793945,128.04745576150677
2.43,133.449997,60.15999866,47.93809547475948,124.54252567517993
2.533,131.7799971,56.23999874,47.98321005878652,122.73377362458297
2.635,130.8799971,54.28999879,47.91273537931691,121.79467734415803
2.737,129.8599971,52.96999882,47.49256105345001,120.8638717375723
2.84,129.1899971,51.26999885,47.50487354263178,120.13884609233006
2.942,128.2299971,49.3399989,47.326002245993266,119.17710211143014
3.045,127.6399971,47.32999894,47.4724326352284,118.4834882985039
3.147,127.5999971,46.35999896,47.74496539307029,118.33079708822437
3.25,127.5999971,46.61999896,47.6632937732757,118.36371777957308
3.352,126.0499972,48.85999891,45.612507772414894,117.50787602893433
3.455,116.6599974,56.07999875,35.35334031610812,111.17417110939685
3.557,103.8199977,69.38999845,20.14736499167907,101.84633329835724
3.659,92.57999793,84.67999811,4.730925462193248,92.45904153185873
3.762,85.55999809,97.91999781,-7.661529384964868,85.21627919971702
3.865,85.37999809,103.3499977,-11.45769577953244,84.60771407662595
3.967,89.08999801,104.3899977,-10.000823899946623,88.52689572522048
4.068,96.92999783,109.7899975,-8.981145512588517,96.51302246124881
4.171,106.4299976,116.3299974,-7.4504186011756826,106.1689015286645
4.273,111.7899975,120.3299973,-6.696975368810817,111.58922018707518
4.375,113.8799975,121.7899973,-6.297802742344592,113.70572330018628
4.478,114.8899974,122.5999973,-6.185972416851354,114.72334220998776
4.58,114.9799974,122.6099973,-6.124363634466215,114.81677565659487
4.682,114.9899974,122.6499973,-6.149737620398656,114.82543372115892
4.785,114.9899974,122.6499973,-6.149737620398656,114.82543372115892
4.888,114.9899974,122.6599973,-6.158025120216225,114.82498956529798
4.989,115.0099974,122.6799973,-6.159061606689186,114.84496271962917
